File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings																																		
Bill_m53_BB2015	T	Internal	t	b	1161.501	1161.621	ISOLATED	1161.07	1161.681	EY	1161.431	1161.501	AH	1161.621	1161.651	1.886	4.242																																				
Bill_m53_BB2015	T	End	g		1139.585	1139.614	QUIET	1139.364	1139.614	AH	1139.555	1139.585	AY	1139.614	1139.675	1.3	6.923																																				
Bill_m53_BB2015	T	End	g		1144.478	1144.508	NOT	1144.297	1144.508	AA	1144.358	1144.478	EH	1144.508	1144.547	1.031	8.729																																				
Bill_m53_BB2015	T	End	g		1145.047	1145.078	LOT	1144.948	1145.078	AA	1145.018	1145.047	AH	1145.078	1145.108	1.281	8.587																																				
Bill_m53_BB2015	T	End	t		1146.038	1146.297	BUT	1145.938	1146.297	AH	1145.968	1146.038	AH	1146.297	1146.347	1.509	4.639																																				
Bill_m53_BB2015	T	End	g		1159.38	1159.41	QUITE	1159.21	1159.41	AY	1159.32	1159.38	AH	1159.41	1159.44	1.399	6.433																																				
Bill_m53_BB2015	T	End	g		1160.02	1160.111	THAT	1159.96	1160.111	AH	1159.99	1160.02	AH	1160.111	1160.141	1.231	6.499																																				
Bill_m53_BB2015	T	End	g		1160.401	1160.44	IT	1160.371	1160.44	AH	1160.371	1160.401	AH	1160.44	1160.48	1.211	6.606																																				
Bill_m53_BB2015	T	End	g		1161.041	1161.07	NOT	1160.961	1161.07	AA	1160.991	1161.041	AY	1161.07	1161.221	1.3	6.923																																				
Bill_m53_BB2015	T	Internal	g	b	206.584	206.613	IT'D	206.554	206.814	IH	206.554	206.584	AH	206.613	206.643	1.15	6.957																																				
Bill_m53_BB2015	T	End	g		1169.494	1169.524	NOT	1169.344	1169.524	AA	1169.414	1169.494	AH	1169.524	1169.564	1.117	4.476																																				
